	(1)	(2)	(3)	(4)
	low	med	high	all
VARIABLES	cap_under_2_oz	cap_2_8_oz	cap_9_oz	tot_labs
				
OTC	-4.059***	-2.141***	-0.276	-6.477***
	(1.171)	(0.513)	(0.315)	(1.821)
481.date	0.510	-0.143	-0.0612	0.306
	(0.576)	(0.184)	(0.157)	(0.621)
482.date	-0.531	0.245	0.367	0.0816
	(0.957)	(0.223)	(0.220)	(1.078)
483.date	-3.245***	-0.184	0	-3.429***
	(1.073)	(0.242)	(0.150)	(1.159)
484.date	-2.306**	-0.306	-0.122	-2.735**
	(1.090)	(0.316)	(0.143)	(1.254)
485.date	-2.796**	-0.204	0.245	-2.755**
	(1.046)	(0.373)	(0.203)	(1.212)
486.date	-2.367***	-0.245	0.469	-2.143**
	(0.779)	(0.288)	(0.337)	(0.856)
487.date	-1.980**	0.163	0.286	-1.531
	(0.911)	(0.400)	(0.182)	(1.065)
488.date	-3.041**	0.245	0.551	-2.245
	(1.252)	(0.352)	(0.342)	(1.352)
489.date	-1.755	0.673	0.469*	-0.612
	(1.117)	(0.451)	(0.239)	(1.282)
490.date	-2.571*	0.347	0.429**	-1.796
	(1.454)	(0.428)	(0.200)	(1.293)
491.date	-3.591**	0.102	0.0998	-3.390**
	(1.594)	(0.385)	(0.161)	(1.678)
492.date	0.237	1.516**	0.923*	2.675
	(1.975)	(0.723)	(0.498)	(1.694)
493.date	-1.083	0.996**	0.903***	0.815
	(1.528)	(0.495)	(0.332)	(1.259)
494.date	1.417	1.576***	1.543**	4.535***
	(1.800)	(0.581)	(0.735)	(1.231)
495.date	0.0568	1.096**	0.883*	2.035*
	(1.479)	(0.456)	(0.524)	(1.139)
496.date	-0.00322	0.896*	0.863**	1.755
	(1.655)	(0.447)	(0.355)	(1.439)
497.date	-1.723	0.856	1.163**	0.295
	(1.696)	(0.515)	(0.564)	(1.096)
498.date	-2.263	0.896**	0.563**	-0.805
	(1.772)	(0.445)	(0.274)	(1.431)
499.date	-0.683	1.116**	1.263**	1.695
	(1.612)	(0.476)	(0.524)	(1.333)
500.date	-1.923	0.916**	0.603**	-0.405
	(1.564)	(0.411)	(0.226)	(1.545)
501.date	-0.583	1.336***	1.203***	1.955*
	(1.324)	(0.482)	(0.365)	(1.009)
502.date	-1.343	1.936***	1.003**	1.595
	(1.571)	(0.640)	(0.383)	(1.409)
503.date	-2.123	1.156*	0.763**	-0.205
	(1.797)	(0.585)	(0.363)	(1.794)
504.date	1.737	2.496***	0.823***	5.055***
	(1.449)	(0.850)	(0.275)	(1.820)
505.date	0.397	2.516**	1.143**	4.055**
	(1.397)	(0.955)	(0.562)	(1.548)
506.date	-0.303	2.496***	1.103**	3.295**
	(1.588)	(0.660)	(0.456)	(1.421)
507.date	-0.563	2.596***	0.883**	2.915*
	(1.670)	(0.680)	(0.361)	(1.524)
508.date	-0.163	2.336***	0.743**	2.915**
	(1.594)	(0.609)	(0.334)	(1.441)
509.date	-1.523	1.936***	0.803**	1.215
	(1.814)	(0.652)	(0.324)	(1.769)
510.date	-0.623	1.916***	0.483*	1.775
	(1.801)	(0.698)	(0.252)	(1.971)
511.date	-0.783	2.836***	0.543**	2.595
	(1.637)	(0.759)	(0.253)	(1.819)
512.date	-0.563	2.296***	0.523***	2.255
	(1.694)	(0.676)	(0.186)	(1.885)
513.date	0.757	2.656***	0.623**	4.035*
	(1.878)	(0.749)	(0.296)	(2.033)
514.date	-0.143	2.196***	0.483**	2.535
	(1.824)	(0.661)	(0.225)	(1.967)
515.date	-0.503	2.196***	0.403*	2.095
	(1.939)	(0.712)	(0.219)	(2.067)
516.date	2.117	4.016***	0.943***	7.075***
	(1.882)	(1.278)	(0.285)	(2.254)
517.date	1.477	3.196***	0.983**	5.655***
	(1.732)	(0.885)	(0.427)	(1.957)
518.date	1.917	3.696***	0.963**	6.575***
	(1.677)	(1.098)	(0.376)	(2.292)
519.date	1.917	3.676***	0.623**	6.215**
	(2.036)	(1.067)	(0.257)	(2.446)
520.date	1.737	2.976***	0.443	5.155**
	(2.108)	(0.833)	(0.265)	(2.495)
521.date	0.657	2.356***	0.0828	3.095
	(2.120)	(0.762)	(0.212)	(2.560)
522.date	0.637	2.496***	0.383	3.515
	(2.033)	(0.776)	(0.266)	(2.312)
523.date	0.157	2.136***	0.363	2.655
	(1.959)	(0.761)	(0.233)	(2.212)
524.date	0.477	2.656***	0.423*	3.555
	(2.335)	(0.795)	(0.226)	(2.547)
525.date	1.137	3.076***	0.383**	4.595*
	(2.097)	(0.828)	(0.174)	(2.573)
526.date	0.217	2.136***	0.363	2.715
	(2.240)	(0.636)	(0.217)	(2.669)
527.date	-0.803	2.236***	0.203	1.635
	(2.277)	(0.752)	(0.180)	(2.768)
528.date	2.677	3.276***	0.323	6.275*
	(2.451)	(0.987)	(0.272)	(3.225)
529.date	3.517	3.096***	0.363	6.975**
	(2.425)	(0.915)	(0.253)	(3.032)
530.date	4.777*	3.596***	0.823**	9.195***
	(2.671)	(1.054)	(0.346)	(3.355)
531.date	3.259	2.869***	0.487	6.615**
	(2.553)	(0.882)	(0.314)	(3.047)
532.date	2.078	2.139***	0.908*	5.125*
	(2.518)	(0.748)	(0.516)	(3.050)
533.date	1.058	1.559**	0.848**	3.465
	(2.568)	(0.672)	(0.384)	(2.938)
534.date	0.338	1.459**	0.768**	2.565
	(2.482)	(0.625)	(0.363)	(2.751)
535.date	0.878	2.119**	0.948***	3.945
	(2.707)	(0.850)	(0.331)	(3.220)
536.date	1.078	1.799**	0.528**	3.405
	(2.622)	(0.712)	(0.257)	(2.994)
537.date	0.778	1.799**	0.368	2.945
	(2.565)	(0.891)	(0.280)	(3.123)
538.date	-0.804	1.379*	0.0709	0.645
	(2.519)	(0.706)	(0.266)	(3.070)
539.date	-0.921	1.561**	0.174	0.814
	(2.432)	(0.636)	(0.250)	(2.911)
540.date	1.417	2.120***	-0.0664	3.470
	(2.656)	(0.704)	(0.356)	(3.220)
541.date	0.920	1.764**	0.0794	2.764
	(2.742)	(0.804)	(0.238)	(3.366)
542.date	2.384	1.697***	0.161	4.241
	(2.613)	(0.603)	(0.276)	(3.068)
543.date	1.005	0.971*	-0.169	1.807
	(2.693)	(0.530)	(0.341)	(3.200)
544.date	-1.673	0.865*	-0.222	-1.030
	(2.584)	(0.478)	(0.327)	(3.055)
545.date	-2.277	0.268	-0.109	-2.118
	(2.576)	(0.565)	(0.300)	(3.037)
546.date	-1.595	0.963*	-0.110	-0.742
	(2.668)	(0.523)	(0.307)	(3.206)
547.date	-1.463	0.596	-0.313	-1.181
	(2.606)	(0.471)	(0.353)	(3.223)
548.date	-3.369	0.597	-0.326	-3.098
	(2.549)	(0.520)	(0.391)	(3.227)
549.date	-3.230	0.822	-0.189	-2.597
	(2.693)	(0.611)	(0.447)	(3.364)
550.date	-3.176	0.725	-0.396	-2.847
	(2.721)	(0.550)	(0.449)	(3.405)
551.date	-2.729	0.801	-0.529	-2.456
	(2.614)	(0.573)	(0.490)	(3.340)
552.date	0.708	1.505**	-0.295	1.917
	(2.821)	(0.603)	(0.476)	(3.422)
553.date	-0.783	1.272**	-0.289	0.199
	(2.821)	(0.573)	(0.452)	(3.453)
554.date	0.557	1.312**	-0.189	1.679
	(2.777)	(0.579)	(0.400)	(3.371)
555.date	-0.134	1.632**	0.0725	1.570
	(2.956)	(0.679)	(0.433)	(3.690)
556.date	0.516	1.717**	-0.0809	2.152
	(2.928)	(0.714)	(0.475)	(3.720)
557.date	-0.424	1.677**	-0.221	1.032
	(2.634)	(0.676)	(0.566)	(3.535)
558.date	-1.624	1.537**	-0.321	-0.408
	(2.829)	(0.731)	(0.577)	(3.747)
559.date	-1.144	1.537**	-0.161	0.232
	(2.830)	(0.663)	(0.590)	(3.749)
560.date	-2.304	1.437**	-0.261	-1.128
	(2.821)	(0.671)	(0.602)	(3.765)
561.date	-2.184	1.297*	-0.301	-1.188
	(2.889)	(0.684)	(0.578)	(3.822)
562.date	-1.704	1.357**	-0.221	-0.568
	(2.989)	(0.674)	(0.525)	(3.885)
563.date	-2.044	1.457**	-0.341	-0.928
	(2.874)	(0.664)	(0.596)	(3.857)
564.date	-2.004	1.517**	-0.381	-0.868
	(2.856)	(0.701)	(0.596)	(3.817)
565.date	-2.184	1.617**	-0.301	-0.868
	(2.889)	(0.774)	(0.559)	(3.830)
566.date	-1.924	1.457**	-0.281	-0.748
	(2.777)	(0.712)	(0.601)	(3.758)
567.date	-2.184	1.677**	-0.301	-0.808
	(2.858)	(0.728)	(0.558)	(3.812)
568.date	-2.224	1.797**	-0.301	-0.728
	(2.861)	(0.719)	(0.599)	(3.816)
569.date	-2.224	1.617**	-0.201	-0.808
	(2.731)	(0.703)	(0.566)	(3.645)
570.date	-2.024	1.717**	-0.161	-0.468
	(2.846)	(0.733)	(0.526)	(3.759)
571.date	-1.524	1.797**	-0.181	0.0919
	(2.888)	(0.790)	(0.543)	(3.837)
572.date	-1.904	1.717**	-0.261	-0.448
	(2.761)	(0.730)	(0.595)	(3.709)
573.date	-2.264	1.617**	-0.321	-0.968
	(2.826)	(0.744)	(0.599)	(3.771)
574.date	-2.724	1.777**	-0.181	-1.128
	(2.862)	(0.701)	(0.590)	(3.744)
575.date	-3.004	1.797**	-0.341	-1.548
	(2.782)	(0.745)	(0.576)	(3.688)
576.date	-2.144	1.497**	-0.241	-0.888
	(2.851)	(0.707)	(0.584)	(3.801)
577.date	-2.644	1.397**	-0.181	-1.428
	(2.985)	(0.680)	(0.548)	(3.930)
578.date	-3.224	1.537**	-0.221	-1.908
	(2.981)	(0.694)	(0.542)	(3.890)
Constant	9.701***	1.210**	0.699***	11.61***
	(1.869)	(0.465)	(0.118)	(2.035)
				
Observations	4,937	4,937	4,937	4,937
R-squared	0.142	0.195	0.075	0.186
Number of state	50	50	50	50
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
